booking_id,customer_id,driver_id,booking_datetime,booking_date,booking_hour,day_of_week,is_weekend,is_peak_hour,pickup_zone,pickup_zone_type,dropoff_zone,dropoff_zone_type,distance_km,estimated_trip_duration_min,vehicle_type,payment_method,customer_segment,customer_rating,driver_rating,nearby_driver_count,driver_eta_min,weather,is_raining,traffic_level,surge_multiplier,promo_applied,promo_discount_sgd,estimated_fare_sgd,device_os,app_version,previous_customer_cancellations,booking_status,customer_cancelled,cancel_time_after_booking_min,cancel_reason,actual_pickup_wait_min,actual_trip_duration_min,final_fare_sgd
BK2026002751,C102412,D50690,2026-02-19 20:59:27,2026-02-19,20,Thursday,0,1,Woodlands,Residential,CBD,Business,7.49,25.1,JustGrab,GrabPay,Occasional,4.55,4.74,3,6.2,Clear,0,Severe,1.43,1,5,13.06,Android,One version behind,2,Completed,0,,Not Cancelled,8.5,22.6,13.36
BK2026007488,C101826,D50130,2026-05-16 04:01:05,2026-05-16,4,Saturday,1,0,Clementi,Residential/Student,Punggol,Residential,8.07,12.4,GrabCar Plus,Corporate,Occasional,4.69,4.95,12,2.2,Cloudy,0,Medium,1.0,1,3,13.73,Android,Current,1,Completed,0,,Not Cancelled,5.9,5.3,13.64
BK2026005273,C100892,D50061,2026-04-05 14:30:32,2026-04-05,14,Sunday,1,0,Jurong East,Residential/Commercial,Tampines,Residential,6.15,9.8,JustGrab,Corporate,Regular,4.58,4.81,10,5.1,Clear,0,Medium,1.0,0,0,11.43,iOS,Current,1,Completed,0,,Not Cancelled,6.3,5.4,10.84
BK2026005654,C102823,D50595,2026-04-12 09:17:18,2026-04-12,9,Sunday,1,1,Woodlands,Residential,Changi,Airport,26.33,86.1,JustGrab,Card,Regular,5.0,4.73,5,13.1,Cloudy,0,Severe,1.28,0,0,49.52,iOS,One version behind,1,Customer Cancelled,1,4.8,Driver took too long,,,
BK2026004000,C102641,D50309,2026-03-14 02:36:44,2026-03-14,2,Saturday,1,0,Orchard,Retail,Marina Bay,Business/Leisure,5.61,9.4,JustGrab,Card,New,4.43,4.73,13,7.3,Clear,0,Medium,1.0,1,2,8.82,Android,One version behind,1,Customer Cancelled,1,8.7,Wrong pickup/dropoff,,,
BK2026006034,C102770,D51489,2026-04-19 01:17:33,2026-04-19,1,Sunday,1,0,Changi,Airport,Tampines,Residential,33.92,65.7,JustGrab,GrabPay,Regular,4.8,4.99,13,6.8,Light Rain,1,Medium,1.08,0,0,50.15,Android,One version behind,0,Customer Cancelled,1,12.6,Fare too high,,,
BK2026000583,C100120,D51149,2026-01-11 04:03:58,2026-01-11,4,Sunday,1,0,Punggol,Residential,Tampines,Residential,9.56,19.7,JustGrab,Card,Regular,4.35,4.86,8,2.4,Light Rain,1,Low,1.23,0,0,18.51,iOS,One version behind,0,Completed,0,,Not Cancelled,2.0,21.7,17.6
BK2026009931,C101916,D51182,2026-06-29 17:17:14,2026-06-29,17,Monday,0,1,Marina Bay,Business/Leisure,Changi,Airport,10.82,29.7,JustGrab,Corporate,Occasional,4.71,5.0,6,18.4,Clear,0,High,1.17,1,5,15.66,Android,One version behind,2,Customer Cancelled,1,8.0,Changed mind,,,
BK2026007052,C101040,D50735,2026-05-08 08:20:17,2026-05-08,8,Friday,0,1,Ang Mo Kio,Residential,CBD,Business,12.58,16.2,GrabCar Plus,GrabPay,Regular,4.8,4.89,5,5.9,Clear,0,Low,1.34,0,0,29.64,iOS,Current,1,Completed,0,,Not Cancelled,4.2,16.1,28.92
BK2026008159,C101590,D50621,2026-05-28 11:17:56,2026-05-28,11,Thursday,0,0,Tampines,Residential,Jurong East,Residential/Commercial,6.75,12.5,GrabCar,Corporate,Occasional,4.36,4.97,7,2.2,Clear,0,Medium,1.0,0,0,12.95,Android,Outdated,0,Completed,0,,Not Cancelled,1.7,11.8,13.16
BK2026009897,C102181,D50953,2026-06-29 03:22:19,2026-06-29,3,Monday,0,0,Sentosa,Leisure,Jurong East,Residential/Commercial,14.95,34.4,JustGrab,Card,High Value,4.94,4.24,11,3.3,Cloudy,0,Medium,1.0,1,2,21.63,Android,Outdated,1,Customer Cancelled,1,0.5,Found alternative transport,,,
BK2026002250,C102257,D51318,2026-02-10 14:59:14,2026-02-10,14,Tuesday,0,0,Orchard,Retail,Clementi,Residential/Student,8.88,11.5,GrabShare,Card,Occasional,4.96,4.96,10,3.1,Clear,0,Low,1.0,0,0,13.11,Android,Current,1,Completed,0,,Not Cancelled,2.0,11.3,15.96
BK2026004641,C100981,D50989,2026-03-25 23:44:31,2026-03-25,23,Wednesday,0,0,Clementi,Residential/Student,Punggol,Residential,10.63,17.6,GrabCar,Corporate,Regular,4.66,4.73,8,1.0,Clear,0,Medium,1.0,0,0,17.97,iOS,Outdated,1,Customer Cancelled,1,0.5,Driver took too long,,,
BK2026009486,C101371,D50494,2026-06-22 01:53:37,2026-06-22,1,Monday,0,0,Queenstown,Residential,Jurong East,Residential/Commercial,3.77,8.1,GrabCar,GrabPay,Occasional,4.51,4.53,9,4.9,Light Rain,1,High,1.13,1,3,6.6,iOS,Current,0,Completed,0,,Not Cancelled,5.8,16.4,8.37
BK2026004948,C101759,D50598,2026-03-31 03:44:23,2026-03-31,3,Tuesday,0,0,Sentosa,Leisure,Tampines,Residential,19.18,38.3,GrabCar,Cash,Regular,4.81,4.94,8,10.5,Cloudy,0,High,1.0,0,0,30.15,Android,Current,0,Completed,0,,Not Cancelled,14.9,39.1,31.22
BK2026009921,C100050,D50829,2026-06-29 14:54:05,2026-06-29,14,Monday,0,0,Jurong East,Residential/Commercial,Woodlands,Residential,9.46,18.7,JustGrab,GrabPay,New,4.77,4.62,7,15.3,Clear,0,High,1.0,0,0,15.98,Android,Current,0,Completed,0,,Not Cancelled,13.7,13.7,16.58
BK2026001964,C100011,D51438,2026-02-05 07:42:28,2026-02-05,7,Thursday,0,1,Woodlands,Residential,Changi,Airport,16.07,30.7,JustGrab,Cash,Regular,4.48,4.76,3,6.7,Clear,0,Low,1.18,0,0,27.39,Android,Current,1,Completed,0,,Not Cancelled,7.8,30.7,27.69
BK2026008244,C100652,D50348,2026-05-29 16:30:47,2026-05-29,16,Friday,0,0,Tampines,Residential,CBD,Business,2.96,5.2,GrabShare,Card,High Value,4.31,4.58,9,1.0,Clear,0,Medium,1.0,0,0,7.07,Android,Current,0,Completed,0,,Not Cancelled,0.5,8.3,7.26
BK2026006591,C100937,D50968,2026-04-30 01:35:24,2026-04-30,1,Thursday,0,0,Tampines,Residential,Woodlands,Residential,6.88,11.4,GrabCar,Card,New,4.74,4.67,2,3.7,Cloudy,0,Low,1.0,0,0,12.97,Android,Current,0,Completed,0,,Not Cancelled,5.2,6.4,12.78
BK2026008848,C101401,D50555,2026-06-10 10:43:30,2026-06-10,10,Wednesday,0,0,Bukit Timah,Residential,Queenstown,Residential,12.65,37.5,JustGrab,GrabPay,Regular,4.42,4.69,6,4.9,Clear,0,High,1.0,0,0,21.58,Android,Current,0,Completed,0,,Not Cancelled,7.8,38.2,20.43
BK2026000322,C102565,D51141,2026-01-06 11:19:20,2026-01-06,11,Tuesday,0,0,Sentosa,Leisure,Changi,Airport,23.15,43.2,GrabShare,GrabPay,Occasional,5.0,4.58,7,3.1,Clear,0,Medium,1.0,0,0,29.65,iOS,One version behind,1,Customer Cancelled,1,6.5,Wrong pickup/dropoff,,,
BK2026002679,C102052,D51353,2026-02-18 16:52:19,2026-02-18,16,Wednesday,0,0,Orchard,Retail,Sentosa,Leisure,8.81,18.0,GrabCar,Card,New,4.44,4.55,11,5.2,Clear,0,Low,1.0,0,0,15.95,iOS,Current,0,Completed,0,,Not Cancelled,9.8,13.3,15.94
BK2026004626,C101194,D50171,2026-03-25 14:24:54,2026-03-25,14,Wednesday,0,0,Bukit Timah,Residential,Punggol,Residential,5.24,6.9,JustGrab,GrabPay,Occasional,4.49,4.57,7,10.7,Heavy Rain,1,Low,1.19,0,0,11.18,Android,Current,3,Completed,0,,Not Cancelled,10.1,5.1,9.65
BK2026004950,C101162,D50838,2026-03-31 04:21:55,2026-03-31,4,Tuesday,0,0,Serangoon,Residential,Jurong East,Residential/Commercial,29.04,50.7,JustGrab,Card,New,4.77,4.49,3,10.9,Clear,0,Low,1.0,1,5,35.38,Android,Outdated,0,Customer Cancelled,1,1.3,Found alternative transport,,,
BK2026008329,C101048,D50523,2026-05-31 06:21:05,2026-05-31,6,Sunday,1,0,Serangoon,Residential,Orchard,Retail,11.26,16.6,JustGrab,Card,New,4.44,4.86,6,6.0,Cloudy,0,Medium,1.0,1,3,14.62,iOS,One version behind,1,Completed,0,,Not Cancelled,9.9,11.7,15.35
BK2026003338,C102700,D51424,2026-03-02 05:49:05,2026-03-02,5,Monday,0,0,Marina Bay,Business/Leisure,Jurong East,Residential/Commercial,4.7,14.9,JustGrab,GrabPay,Occasional,4.45,4.46,8,4.3,Clear,0,Severe,1.12,0,0,11.12,Android,Current,0,Customer Cancelled,1,1.2,Changed mind,,,
BK2026005590,C102874,D51390,2026-04-11 09:40:03,2026-04-11,9,Saturday,1,1,Queenstown,Residential,CBD,Business,6.43,12.5,GrabShare,GrabPay,New,4.63,4.65,2,3.6,Clear,0,Low,1.24,1,5,7.42,Android,Current,0,Customer Cancelled,1,0.5,Driver took too long,,,
BK2026000252,C102833,D50679,2026-01-05 06:33:19,2026-01-05,6,Monday,0,0,Woodlands,Residential,Changi,Airport,21.31,33.7,JustGrab,Cash,Occasional,5.0,4.69,7,4.2,Light Rain,1,Medium,1.07,1,3,28.79,iOS,Current,1,Completed,0,,Not Cancelled,7.0,37.5,28.93
BK2026003974,C103178,D51040,2026-03-13 17:21:18,2026-03-13,17,Friday,0,1,Sentosa,Leisure,Yishun,Residential,6.98,18.8,JustGrab,GrabPay,Regular,4.58,5.0,7,6.1,Clear,0,High,1.3,0,0,15.58,Android,Current,0,Completed,0,,Not Cancelled,5.6,22.6,14.71
BK2026006631,C101416,D51042,2026-04-30 17:32:40,2026-04-30,17,Thursday,0,1,Tampines,Residential,Orchard,Retail,6.36,14.7,GrabShare,Card,New,4.84,4.69,1,4.7,Cloudy,0,High,1.22,0,0,12.49,Android,Current,1,Completed,0,,Not Cancelled,4.0,9.6,12.08
BK2026005548,C102585,D50461,2026-04-10 20:36:40,2026-04-10,20,Friday,0,1,CBD,Business,Jurong East,Residential/Commercial,4.76,10.6,JustGrab,Card,New,4.85,4.71,9,15.1,Cloudy,0,High,1.33,1,2,9.72,Android,One version behind,0,Completed,0,,Not Cancelled,18.9,12.3,10.1
BK2026000036,C101552,D50052,2026-01-01 15:44:42,2026-01-01,15,Thursday,0,0,Marina Bay,Business/Leisure,Jurong East,Residential/Commercial,12.31,36.2,JustGrab,Card,Regular,4.5,4.91,10,6.5,Clear,0,Severe,1.15,0,0,23.01,iOS,Current,0,Completed,0,,Not Cancelled,4.3,36.0,21.54
BK2026008363,C102640,D51336,2026-05-31 20:36:43,2026-05-31,20,Sunday,1,1,Changi,Airport,Woodlands,Residential,23.74,48.8,JustGrab,Card,Occasional,4.48,4.87,4,8.9,Clear,0,Medium,1.06,0,0,36.08,iOS,Current,1,Completed,0,,Not Cancelled,8.1,47.6,37.26
BK2026001514,C101482,D50202,2026-01-28 14:41:12,2026-01-28,14,Wednesday,0,0,CBD,Business,Tampines,Residential,3.64,7.9,JustGrab,Cash,New,4.57,4.78,11,5.8,Light Rain,1,Medium,1.23,1,2,7.45,Android,Current,1,Customer Cancelled,1,1.2,App or payment issue,,,
BK2026009318,C102591,D50175,2026-06-19 03:33:59,2026-06-19,3,Friday,0,0,Woodlands,Residential,Clementi,Residential/Student,10.15,18.7,GrabShare,GrabPay,Regular,5.0,4.48,5,4.7,Light Rain,1,Low,1.22,1,2,15.1,Android,Outdated,0,Customer Cancelled,1,0.8,Driver took too long,,,
BK2026000040,C102906,D51115,2026-01-01 16:43:36,2026-01-01,16,Thursday,0,0,Tampines,Residential,Orchard,Retail,9.45,13.7,JustGrab,GrabPay,Occasional,4.75,4.64,4,3.5,Cloudy,0,Medium,1.0,0,0,15.37,Android,Current,0,Completed,0,,Not Cancelled,3.7,12.3,13.88
BK2026004820,C100245,D50502,2026-03-29 02:20:50,2026-03-29,2,Sunday,1,0,Changi,Airport,Ang Mo Kio,Residential,18.77,28.9,GrabShare,Card,New,4.67,4.82,7,3.2,Clear,0,Medium,1.0,0,0,24.02,Android,Current,0,Completed,0,,Not Cancelled,3.6,28.4,24.98
BK2026003466,C101507,D50088,2026-03-04 11:23:57,2026-03-04,11,Wednesday,0,0,Sentosa,Leisure,Ang Mo Kio,Residential,12.45,17.6,JustGrab,GrabPay,Regular,3.97,4.8,12,1.5,Clear,0,Low,1.0,0,0,18.98,iOS,Current,1,Completed,0,,Not Cancelled,0.6,24.6,19.64
BK2026001761,C101815,D51123,2026-02-01 23:19:38,2026-02-01,23,Sunday,1,0,Tampines,Residential,Sentosa,Leisure,15.38,28.4,GrabCar Plus,GrabPay,Regular,4.34,4.89,6,6.1,Cloudy,0,Medium,1.0,0,0,29.01,Android,One version behind,0,Completed,0,,Not Cancelled,12.0,31.0,30.59
BK2026002305,C100082,D50999,2026-02-11 15:14:37,2026-02-11,15,Wednesday,0,0,Yishun,Residential,Serangoon,Residential,13.95,33.6,JustGrab,Corporate,Regular,4.67,4.68,7,10.3,Cloudy,0,Severe,1.16,0,0,24.82,Android,Current,0,Completed,0,,Not Cancelled,14.1,37.6,22.76
BK2026003724,C101095,D51269,2026-03-09 12:23:31,2026-03-09,12,Monday,0,0,Changi,Airport,Orchard,Retail,25.71,61.2,GrabCar Plus,GrabPay,New,4.45,4.72,7,5.1,Clear,0,Medium,1.0,0,0,47.59,Android,Current,3,Customer Cancelled,1,4.8,Driver took too long,,,
BK2026008285,C101042,D50074,2026-05-30 11:51:45,2026-05-30,11,Saturday,1,0,Queenstown,Residential,Serangoon,Residential,5.79,7.8,GrabCar,Cash,High Value,4.58,4.47,6,1.9,Clear,0,Low,1.0,0,0,11.3,Android,One version behind,0,Completed,0,,Not Cancelled,3.8,8.6,11.97
BK2026004994,C101482,D50116,2026-04-01 01:52:53,2026-04-01,1,Wednesday,0,0,Bukit Timah,Residential,Woodlands,Residential,10.88,19.5,JustGrab,GrabPay,New,4.6,5.0,8,9.3,Clear,0,Medium,1.0,1,8,9.56,Android,Current,0,Completed,0,,Not Cancelled,11.2,15.5,8.95
BK2026008128,C101991,D50974,2026-05-27 20:30:23,2026-05-27,20,Wednesday,0,1,Yishun,Residential,Clementi,Residential/Student,7.98,23.6,JustGrab,GrabPay,Regular,4.45,4.71,2,7.2,Clear,0,High,1.1,1,3,12.85,Android,Current,1,Completed,0,,Not Cancelled,10.6,17.6,12.3
BK2026003033,C101156,D50699,2026-02-24 18:14:40,2026-02-24,18,Tuesday,0,1,Sentosa,Leisure,Tampines,Residential,19.49,65.5,GrabFamily,GrabPay,New,4.64,4.78,4,13.9,Cloudy,0,Severe,1.44,0,0,49.38,iOS,Current,0,Completed,0,,Not Cancelled,17.8,59.8,49.65
BK2026007939,C101799,D50641,2026-05-24 13:33:10,2026-05-24,13,Sunday,1,0,Woodlands,Residential,Clementi,Residential/Student,7.94,14.8,GrabShare,Card,Regular,4.96,4.78,10,1.5,Clear,0,Medium,1.0,0,0,12.66,Android,Current,0,Completed,0,,Not Cancelled,1.1,15.0,14.33
BK2026003040,C100429,D51328,2026-02-24 20:11:23,2026-02-24,20,Tuesday,0,1,Punggol,Residential,Serangoon,Residential,5.3,13.5,JustGrab,GrabPay,Regular,4.54,4.94,6,14.6,Cloudy,0,High,1.14,0,0,11.76,Android,Current,0,Completed,0,,Not Cancelled,17.6,14.7,11.65
BK2026009656,C102366,D50445,2026-06-24 19:50:27,2026-06-24,19,Wednesday,0,1,Ang Mo Kio,Residential,Bukit Timah,Residential,2.41,4.0,JustGrab,GrabPay,Occasional,4.57,4.7,3,11.5,Light Rain,1,Medium,1.53,1,5,4.0,Android,Current,0,Customer Cancelled,1,12.1,Driver took too long,,,
BK2026002546,C100127,D50409,2026-02-16 07:48:59,2026-02-16,7,Monday,0,1,Punggol,Residential,Orchard,Retail,14.08,25.5,JustGrab,Card,Regular,5.0,4.92,3,12.2,Clear,0,Low,1.1,1,5,18.12,iOS,Current,0,Completed,0,,Not Cancelled,15.5,28.6,20.55
BK2026002593,C102859,D50528,2026-02-17 04:08:59,2026-02-17,4,Tuesday,0,0,Ang Mo Kio,Residential,Woodlands,Residential,6.01,11.3,JustGrab,Card,Regular,4.59,4.51,8,2.9,Light Rain,1,Low,1.29,0,0,13.3,iOS,Current,1,Completed,0,,Not Cancelled,3.4,9.2,11.24
BK2026001189,C100657,D51278,2026-01-22 22:23:47,2026-01-22,22,Thursday,0,0,Jurong East,Residential/Commercial,Jurong East,Residential/Commercial,1.37,4.0,JustGrab,Card,Regular,4.98,4.49,8,3.2,Clear,0,Medium,1.0,0,0,5.72,iOS,One version behind,0,Completed,0,,Not Cancelled,8.0,3.3,6.51
BK2026007967,C102884,D50066,2026-05-24 23:16:30,2026-05-24,23,Sunday,1,0,Jurong East,Residential/Commercial,Serangoon,Residential,15.86,34.3,JustGrab,Card,Occasional,4.66,4.9,10,6.4,Heavy Rain,1,Medium,1.22,0,0,28.23,Android,Current,1,Completed,0,,Not Cancelled,7.4,40.7,28.85
BK2026006078,C100915,D51099,2026-04-19 21:23:48,2026-04-19,21,Sunday,1,0,Ang Mo Kio,Residential,CBD,Business,2.92,5.6,GrabShare,Card,Regular,4.59,4.78,8,2.7,Clear,0,Medium,1.0,1,8,4.0,Android,Current,0,Completed,0,,Not Cancelled,3.4,3.0,3.82
BK2026000108,C100112,D50721,2026-01-02 18:35:06,2026-01-02,18,Friday,0,1,Marina Bay,Business/Leisure,Punggol,Residential,10.26,31.4,JustGrab,Card,Regular,4.39,4.61,13,12.4,Heavy Rain,1,Severe,1.63,0,0,25.13,Android,Current,1,Customer Cancelled,1,10.9,Changed mind,,,
BK2026001316,C102613,D50620,2026-01-25 05:09:34,2026-01-25,5,Sunday,1,0,Queenstown,Residential,Marina Bay,Business/Leisure,4.0,6.0,JustGrab,Card,Regular,4.5,4.81,6,1.6,Cloudy,0,Medium,1.0,0,0,8.72,Android,Current,0,Completed,0,,Not Cancelled,5.2,5.3,6.71
BK2026008188,C102042,D50876,2026-05-28 20:37:46,2026-05-28,20,Thursday,0,1,Yishun,Residential,Sentosa,Leisure,8.9,19.6,GrabCar Plus,GrabPay,Occasional,4.38,4.69,8,4.9,Cloudy,0,Medium,1.09,1,5,14.9,Android,Current,1,Completed,0,,Not Cancelled,6.8,16.6,15.79
BK2026002754,C102545,D51014,2026-02-19 23:51:27,2026-02-19,23,Thursday,0,0,Woodlands,Residential,CBD,Business,14.16,23.1,GrabCar,GrabPay,Regular,4.85,4.77,4,6.7,Clear,0,Medium,1.0,0,0,22.63,iOS,Current,0,Completed,0,,Not Cancelled,7.8,22.1,22.74
BK2026009754,C102291,D50021,2026-06-26 11:57:34,2026-06-26,11,Friday,0,0,Marina Bay,Business/Leisure,Ang Mo Kio,Residential,5.8,8.4,GrabCar,GrabPay,Occasional,4.23,4.48,13,4.9,Clear,0,Medium,1.0,0,0,11.39,iOS,Outdated,1,Customer Cancelled,1,2.8,Wrong pickup/dropoff,,,
BK2026006232,C100917,D50140,2026-04-23 00:05:33,2026-04-23,0,Thursday,0,0,Yishun,Residential,CBD,Business,5.96,10.2,GrabCar,GrabPay,Regular,4.95,4.7,10,2.5,Clear,0,Low,1.0,0,0,11.78,Android,One version behind,1,Customer Cancelled,1,1.5,Fare too high,,,
BK2026002877,C102887,D50779,2026-02-21 22:14:14,2026-02-21,22,Saturday,1,0,Punggol,Residential,Queenstown,Residential,13.31,39.8,JustGrab,Corporate,Regular,4.74,4.67,8,10.3,Clear,0,Severe,1.15,0,0,24.65,iOS,Current,1,Completed,0,,Not Cancelled,8.4,32.7,26.94
BK2026005324,C102741,D50615,2026-04-06 14:01:28,2026-04-06,14,Monday,0,0,Clementi,Residential/Student,Serangoon,Residential,17.07,31.9,JustGrab,Card,High Value,4.59,4.82,6,3.0,Heavy Rain,1,Medium,1.21,0,0,29.32,Android,Current,0,Completed,0,,Not Cancelled,7.5,33.6,29.64
BK2026000800,C100646,D50929,2026-01-15 04:42:28,2026-01-15,4,Thursday,0,0,Yishun,Residential,Orchard,Retail,17.95,33.3,GrabFamily,Cash,Occasional,4.64,4.8,8,6.2,Clear,0,High,1.0,0,0,31.92,Android,Current,0,Completed,0,,Not Cancelled,7.6,33.0,32.47
BK2026003571,C102723,D50714,2026-03-06 14:02:26,2026-03-06,14,Friday,0,0,Jurong East,Residential/Commercial,Orchard,Retail,5.02,13.3,JustGrab,Card,New,4.43,4.74,9,3.3,Cloudy,0,High,1.0,0,0,10.67,Android,Current,2,Completed,0,,Not Cancelled,5.5,7.1,10.5
BK2026002895,C100505,D50068,2026-02-22 05:04:36,2026-02-22,5,Sunday,1,0,Orchard,Retail,Tampines,Residential,19.69,44.1,JustGrab,GrabPay,Regular,4.91,4.74,6,6.2,Clear,0,Severe,1.07,0,0,31.21,Android,Current,0,No Show,0,,Not Cancelled,,,
BK2026002928,C100580,D50269,2026-02-22 22:54:23,2026-02-22,22,Sunday,1,0,Clementi,Residential/Student,Punggol,Residential,6.67,14.6,GrabCar Plus,Card,Occasional,4.56,4.77,5,2.0,Clear,0,High,1.0,0,0,15.01,iOS,Outdated,0,Completed,0,,Not Cancelled,4.4,19.7,12.6
BK2026008179,C100739,D50386,2026-05-28 16:11:25,2026-05-28,16,Thursday,0,0,CBD,Business,Bukit Timah,Residential,7.81,13.7,GrabFamily,Card,Regular,4.47,4.49,14,2.0,Clear,0,Medium,1.0,0,0,15.94,Android,Current,0,Customer Cancelled,1,0.7,Changed mind,,,
BK2026000972,C100037,D50381,2026-01-18 12:03:43,2026-01-18,12,Sunday,1,0,Yishun,Residential,Clementi,Residential/Student,1.78,4.0,GrabCar,Cash,New,4.67,4.76,5,4.6,Light Rain,1,Medium,1.07,0,0,6.44,iOS,Outdated,0,Completed,0,,Not Cancelled,4.9,4.3,5.9
BK2026006688,C101570,D50663,2026-05-02 00:03:16,2026-05-02,0,Saturday,1,0,Woodlands,Residential,Queenstown,Residential,7.03,14.4,JustGrab,GrabPay,New,4.77,4.83,10,4.7,Cloudy,0,High,1.0,0,0,12.91,Android,Outdated,1,Completed,0,,Not Cancelled,3.2,8.8,13.07
BK2026008576,C101397,D51175,2026-06-04 19:28:28,2026-06-04,19,Thursday,0,1,CBD,Business,Sentosa,Leisure,8.56,15.6,GrabCar,Cash,Regular,4.74,4.76,5,11.4,Clear,0,Medium,1.08,0,0,16.16,Android,Current,0,Completed,0,,Not Cancelled,12.5,19.2,14.99
BK2026002021,C101674,D50545,2026-02-06 04:08:00,2026-02-06,4,Friday,0,0,Clementi,Residential/Student,Woodlands,Residential,14.86,25.1,JustGrab,Card,New,4.69,4.86,11,2.9,Clear,0,Low,1.0,0,0,22.42,iOS,One version behind,1,Completed,0,,Not Cancelled,4.3,24.6,20.57
BK2026009055,C100054,D50607,2026-06-13 23:26:35,2026-06-13,23,Saturday,1,0,Ang Mo Kio,Residential,Punggol,Residential,14.39,25.5,JustGrab,GrabPay,New,5.0,4.57,5,7.7,Cloudy,0,Low,1.0,0,0,21.97,Android,Current,0,Completed,0,,Not Cancelled,8.7,25.1,22.9
BK2026000953,C100797,D50752,2026-01-18 03:23:16,2026-01-18,3,Sunday,1,0,Orchard,Retail,Changi,Airport,34.19,62.0,JustGrab,Cash,High Value,4.55,4.73,8,4.3,Light Rain,1,Medium,1.19,1,3,50.96,iOS,Current,0,Completed,0,,Not Cancelled,5.5,60.1,50.19
BK2026005360,C101079,D50572,2026-04-07 07:17:53,2026-04-07,7,Tuesday,0,1,Punggol,Residential,Jurong East,Residential/Commercial,16.28,44.1,GrabCar Plus,Card,New,4.24,4.59,6,25.0,Clear,0,High,1.29,1,2,36.86,iOS,Current,0,Customer Cancelled,1,6.9,Fare too high,,,
