booking_id,booking_datetime,booking_hour,day_of_week,month,is_weekend,is_peak_hour,is_late_night,public_holiday,pickup_zone,pickup_zone_type,dropoff_zone,dropoff_zone_type,airport_trip,cbd_trip,distance_km,estimated_trip_duration_min,vehicle_type,payment_method,customer_segment,loyalty_tier,customer_tenure_days,rides_last_7_days,rides_last_30_days,customer_cancel_rate_90d,previous_customer_cancellations,avg_previous_wait_time_min,customer_rating,driver_rating,active_driver_supply_zone,booking_demand_zone,supply_demand_ratio,nearby_driver_count,drivers_declined_before_accept,driver_acceptance_time_sec,driver_distance_to_pickup_km,driver_eta_min,eta_change_min,weather,is_raining,traffic_level,surge_multiplier,surge_changed_after_booking,promo_applied,promo_discount_sgd,estimated_fare_sgd,app_version,network_quality,customer_cancelled,cancel_reason
BK2026002482,2026-01-23 12:41:47,12,Friday,1,0,0,0,0,Bukit Timah,Residential,Punggol,Residential,0,0,8.91,21.4,GrabFamily,Card,New,,19,0,2,0.007,0,4.5,4.27,4.98,75,48,1.56,7,0,14,1.21,3.7,1.2,Clear,0,Severe,1.13,0,0,0,19.9,One version behind,Poor,0,Not Cancelled
BK2026001771,2026-01-16 20:32:57,20,Friday,1,0,1,0,0,CBD,Business,Punggol,Residential,0,1,9.22,18.3,JustGrab,Card,Regular,Gold,1179,1,9,0.044,1,7.8,4.78,4.59,82,97,0.85,7,3,97,4.03,12.5,-0.6,Cloudy,0,High,1.12,0,0,0,16.84,Current,Good,0,Not Cancelled
BK2026005707,2026-02-22 03:12:11,3,Sunday,2,1,0,1,0,Changi,Airport,Marina Bay,Business/Leisure,1,1,15.4,45.1,JustGrab,Card,Regular,Silver,373,0,4,0.003,0,9.8,4.77,4.6,70,60,1.17,7,1,66,0.4,2.5,2.0,Clear,0,High,1.0,0,0,0,25.38,Current,Average,0,Not Cancelled
BK2026016208,2026-05-26 18:36:29,18,Tuesday,5,0,1,0,0,Clementi,Student/Residential,Orchard,Retail,0,0,7.81,15.3,GrabShare,GrabPay,Occasional,Gold,303,1,1,0.156,1,6.9,4.88,4.92,42,59,0.71,7,1,39,2.04,6.9,0.9,Clear,0,High,1.44,0,0,0,15.67,Current,Poor,0,Not Cancelled
BK2026011561,2026-04-15 04:14:36,4,Wednesday,4,0,0,1,0,Orchard,Retail,Punggol,Residential,0,0,14.09,38.5,JustGrab,Card,Regular,Silver,1049,1,11,0.06,1,7.1,4.6,4.98,95,56,1.7,18,1,46,1.04,6.0,0.7,Heavy Rain,1,Severe,1.21,0,0,0,26.32,Outdated,Good,0,Not Cancelled
BK2026011469,2026-04-14 05:38:09,5,Tuesday,4,0,0,1,0,Serangoon,Residential,CBD,Business,0,1,13.79,23.2,GrabCar Plus,GrabPay,Occasional,,292,0,0,0.169,2,6.3,4.78,4.59,55,52,1.06,7,0,45,1.74,3.7,-0.0,Clear,0,Low,1.0,0,0,0,26.13,Outdated,Good,0,Not Cancelled
BK2026012702,2026-04-25 08:22:59,8,Saturday,4,1,1,0,0,Punggol,Residential,Woodlands,Residential,0,0,14.48,25.9,JustGrab,Corporate,Occasional,Silver,552,0,6,0.115,2,3.0,4.28,4.89,46,84,0.55,3,0,16,5.32,17.1,1.5,Clear,0,High,1.48,0,1,8,21.41,One version behind,Good,1,Fare too high
BK2026014576,2026-05-12 12:26:11,12,Tuesday,5,0,0,0,0,Orchard,Retail,Yishun,Residential,0,0,15.08,23.5,GrabCar Plus,Corporate,High Value,Gold,1193,8,21,0.085,2,11.8,4.86,4.85,94,61,1.54,12,0,19,0.96,3.1,3.2,Cloudy,0,Medium,1.0,0,0,0,28.0,One version behind,Average,0,Not Cancelled
BK2026001140,2026-01-11 02:45:54,2,Sunday,1,1,0,1,0,Marina Bay,Business/Leisure,Orchard,Retail,0,1,8.9,16.8,JustGrab,Card,Regular,Gold,420,4,11,0.007,0,6.1,5.0,4.71,97,58,1.67,9,1,44,0.27,2.1,-0.5,Clear,0,Medium,1.0,0,0,0,15.16,Current,Good,0,Not Cancelled
BK2026006070,2026-02-25 14:02:34,14,Wednesday,2,0,0,0,0,Yishun,Residential,CBD,Business,0,1,5.95,14.2,GrabCar,Cash,High Value,Platinum,1864,3,18,0.003,0,4.7,4.55,4.66,72,40,1.8,4,0,65,1.71,4.7,3.8,Clear,0,High,1.0,0,1,8,4.25,One version behind,Good,0,Not Cancelled
BK2026006931,2026-03-05 01:16:54,1,Thursday,3,0,0,1,0,Sentosa,Leisure,CBD,Business,0,1,17.65,26.8,GrabShare,Card,Regular,Platinum,583,3,11,0.057,1,5.9,4.62,4.55,63,42,1.5,7,2,78,2.48,7.1,1.2,Clear,0,Medium,1.0,0,0,0,22.77,One version behind,Good,0,Not Cancelled
BK2026017044,2026-06-03 08:05:53,8,Wednesday,6,0,1,0,0,Woodlands,Residential,Tampines,Residential,0,0,5.57,13.9,GrabCar,GrabPay,High Value,Gold,1927,3,17,0.005,0,6.8,4.86,4.7,43,73,0.59,5,4,167,5.4,25.5,10.5,Light Rain,1,Severe,1.83,0,0,0,17.03,Outdated,Good,1,Found alternative transport
BK2026018354,2026-06-15 16:19:14,16,Monday,6,0,0,0,0,Serangoon,Residential,Woodlands,Residential,0,0,10.98,16.8,GrabCar,Card,New,,7,0,0,0.06,1,8.1,4.43,4.89,61,35,1.74,13,1,70,3.16,8.2,3.3,Clear,0,Medium,1.0,0,1,8,10.27,Current,Average,0,Not Cancelled
BK2026006515,2026-03-01 13:21:03,13,Sunday,3,1,0,0,0,Queenstown,Residential,Sentosa,Leisure,0,0,8.17,14.9,GrabCar Plus,Card,Occasional,Silver,170,0,4,0.061,1,8.3,4.44,4.74,62,45,1.38,9,0,52,3.34,8.2,2.4,Clear,0,Low,1.0,0,1,5,12.17,Current,Good,0,Not Cancelled
BK2026012246,2026-04-21 13:24:21,13,Tuesday,4,0,0,0,0,Woodlands,Residential,Clementi,Student/Residential,0,0,11.5,18.0,GrabCar,GrabPay,Regular,Gold,218,3,15,0.004,0,5.1,4.67,4.71,78,55,1.42,13,0,26,2.43,7.0,1.4,Light Rain,1,Medium,1.21,0,0,0,21.74,Current,Good,0,Not Cancelled
BK2026005691,2026-02-22 00:50:54,0,Sunday,2,1,0,1,0,CBD,Business,CBD,Business,0,1,3.47,5.7,GrabCar Plus,Cash,New,,16,1,3,0.004,0,7.6,4.78,4.58,101,63,1.6,16,0,48,1.08,3.4,-0.5,Cloudy,0,Low,1.0,0,0,0,9.4,Current,Good,0,Not Cancelled
BK2026001273,2026-01-12 08:57:59,8,Monday,1,0,1,0,0,Clementi,Student/Residential,Woodlands,Residential,0,0,6.07,14.7,GrabCar Plus,Card,Regular,Gold,286,1,8,0.001,0,6.9,4.37,4.62,35,73,0.48,2,1,31,3.45,10.4,9.8,Light Rain,1,Severe,1.81,0,0,0,21.14,Current,Average,1,Found alternative transport
BK2026006880,2026-03-04 14:18:01,14,Wednesday,3,0,0,0,0,Jurong East,Mixed,Bukit Timah,Residential,0,0,8.54,14.5,GrabCar,Corporate,Occasional,,438,1,8,0.014,0,6.2,4.28,4.12,69,52,1.33,5,0,6,1.17,5.2,3.3,Heavy Rain,1,Medium,1.26,0,0,0,17.74,Current,Good,0,Not Cancelled
BK2026017516,2026-06-07 16:58:08,16,Sunday,6,1,0,0,0,Yishun,Residential,Tampines,Residential,0,0,5.04,10.3,JustGrab,Card,High Value,Platinum,1487,6,20,0.002,0,7.7,4.66,4.5,68,55,1.24,7,1,17,2.93,8.1,0.7,Cloudy,0,Low,1.0,0,0,0,10.33,Current,Good,0,Not Cancelled
BK2026000677,2026-01-06 22:56:08,22,Tuesday,1,0,0,0,0,Punggol,Residential,Sentosa,Leisure,0,0,10.97,18.4,GrabCar,GrabPay,Occasional,,67,0,2,0.014,0,5.5,4.69,4.45,77,68,1.13,9,0,30,2.72,9.0,2.8,Heavy Rain,1,Medium,1.17,0,0,0,20.56,Outdated,Average,0,Not Cancelled
BK2026012740,2026-04-25 19:09:04,19,Saturday,4,1,1,0,0,Changi,Airport,Queenstown,Residential,1,0,15.48,35.5,GrabCar,GrabPay,High Value,Platinum,1543,5,17,0.003,0,4.0,4.45,4.63,46,90,0.51,4,6,106,2.83,10.4,-0.5,Clear,0,High,1.35,0,0,0,31.76,Current,Average,1,Fare too high
BK2026016467,2026-05-28 23:50:05,23,Thursday,5,0,0,1,0,Queenstown,Residential,Sentosa,Leisure,0,0,14.52,32.0,JustGrab,Cash,Occasional,,358,1,6,0.006,0,4.6,4.09,4.54,81,34,2.38,8,0,6,1.57,3.3,-3.7,Clear,0,Medium,1.0,0,1,8,14.89,One version behind,Good,0,Not Cancelled
BK2026006742,2026-03-03 09:04:11,9,Tuesday,3,0,1,0,0,Orchard,Retail,Orchard,Retail,0,0,2.65,4.0,GrabCar,Card,Regular,Silver,235,6,15,0.033,1,6.5,4.37,4.49,70,82,0.85,9,0,10,1.35,3.7,3.4,Clear,0,Medium,1.08,0,0,0,7.53,Current,Average,0,Not Cancelled
BK2026003857,2026-02-05 03:05:08,3,Thursday,2,0,0,1,0,Jurong East,Mixed,Changi,Airport,1,0,19.98,40.7,GrabCar,Corporate,Regular,Silver,1307,4,14,0.037,1,4.3,4.51,4.49,65,44,1.48,7,1,28,0.46,2.7,1.8,Clear,0,High,1.0,0,0,0,31.34,One version behind,Good,0,Not Cancelled
BK2026019251,2026-06-24 04:02:39,4,Wednesday,6,0,0,1,0,Jurong East,Mixed,CBD,Business,0,1,4.39,9.2,JustGrab,GrabPay,Regular,Silver,801,3,14,0.002,0,6.0,4.39,4.49,64,37,1.73,12,1,33,0.77,3.2,-2.5,Clear,0,High,1.0,0,0,0,9.51,Current,Good,0,Not Cancelled
BK2026016226,2026-05-26 23:15:24,23,Tuesday,5,0,0,1,0,Marina Bay,Business/Leisure,Bukit Timah,Residential,0,1,14.05,28.2,JustGrab,GrabPay,High Value,Platinum,996,3,18,0.003,0,2.0,4.48,4.54,106,65,1.63,13,0,34,0.76,2.2,0.1,Clear,0,Low,1.0,0,0,0,21.94,Current,Good,0,Not Cancelled
BK2026009132,2026-03-23 22:05:46,22,Monday,3,0,0,0,0,Punggol,Residential,Bukit Timah,Residential,0,0,11.58,19.9,JustGrab,GrabPay,Occasional,,245,0,2,0.367,3,8.8,4.18,4.56,79,54,1.46,7,0,12,1.45,4.2,1.1,Cloudy,0,Medium,1.0,0,0,0,18.35,Outdated,Good,0,Not Cancelled
BK2026003049,2026-01-28 19:25:37,19,Wednesday,1,0,1,0,0,Ang Mo Kio,Residential,Queenstown,Residential,0,0,5.65,17.5,GrabCar,Cash,Occasional,,319,0,3,0.011,0,3.7,4.5,4.58,53,80,0.66,4,1,44,3.53,14.6,0.7,Clear,0,Severe,1.71,0,1,3,13.86,Current,Average,1,Changed plans/weather
BK2026009890,2026-03-30 22:20:54,22,Monday,3,0,0,0,0,Changi,Airport,Punggol,Residential,1,0,16.44,36.7,JustGrab,Card,Occasional,Gold,589,1,5,0.009,0,7.9,4.12,4.89,61,64,0.95,6,2,59,4.08,8.6,3.8,Clear,0,Medium,1.0,0,0,0,25.47,Current,Average,0,Not Cancelled
BK2026001859,2026-01-17 10:52:45,10,Saturday,1,1,0,0,0,Woodlands,Residential,CBD,Business,0,1,5.27,7.9,GrabCar,Card,High Value,Platinum,1272,3,15,0.002,0,1.6,4.46,4.92,75,29,2.59,10,1,32,2.86,6.8,4.3,Clear,0,Medium,1.0,0,0,0,10.72,Current,Average,0,Not Cancelled
BK2026009405,2026-03-26 16:00:54,16,Thursday,3,0,0,0,0,Orchard,Retail,CBD,Business,0,1,8.58,19.1,GrabFamily,Card,Regular,Platinum,1048,4,12,0.033,1,9.3,4.57,4.56,81,60,1.35,9,1,56,1.87,5.1,-1.0,Cloudy,0,Medium,1.0,0,0,0,17.62,Current,Average,0,Not Cancelled
BK2026002747,2026-01-25 20:28:54,20,Sunday,1,1,1,0,0,Ang Mo Kio,Residential,Orchard,Retail,0,0,7.94,20.9,GrabCar,Cash,Regular,Gold,1150,3,16,0.002,0,7.3,4.94,4.71,42,67,0.63,4,3,80,1.55,7.7,4.8,Cloudy,0,Severe,1.33,1,0,0,18.28,Current,Good,1,Found alternative transport
BK2026003819,2026-02-04 16:54:54,16,Wednesday,2,0,0,0,0,Marina Bay,Business/Leisure,Tampines,Residential,0,1,12.14,32.3,GrabCar,GrabPay,Occasional,,600,1,5,0.069,1,6.3,4.87,4.91,86,59,1.46,5,1,33,0.2,2.2,-0.1,Cloudy,0,High,1.0,0,0,0,21.44,Outdated,Good,0,Not Cancelled
BK2026015666,2026-05-22 07:16:10,7,Friday,5,0,1,0,0,Changi,Airport,Queenstown,Residential,1,0,15.57,22.5,JustGrab,Corporate,Regular,Gold,1363,3,5,0.044,1,4.5,4.71,4.93,42,103,0.41,4,3,86,3.53,11.5,3.2,Cloudy,0,Low,1.31,0,0,0,27.92,Current,Average,1,Driver took too long
BK2026008151,2026-03-15 11:30:01,11,Sunday,3,1,0,0,0,Clementi,Student/Residential,Queenstown,Residential,0,0,4.5,12.9,JustGrab,GrabPay,Occasional,,614,0,8,0.05,1,6.4,4.6,4.89,74,54,1.37,5,1,75,0.24,4.3,2.9,Light Rain,1,High,1.14,0,0,0,10.73,Current,Poor,0,Not Cancelled
BK2026011940,2026-04-18 17:46:35,17,Saturday,4,1,1,0,0,Orchard,Retail,Punggol,Residential,0,0,6.57,12.1,GrabCar,GrabPay,New,,19,1,2,0.0,0,8.0,4.61,4.74,64,91,0.7,10,1,36,6.83,16.9,-0.8,Clear,0,High,1.42,0,0,0,15.83,Outdated,Good,1,Changed plans/weather
BK2026016058,2026-05-25 11:41:37,11,Monday,5,0,0,0,0,Woodlands,Residential,Tampines,Residential,0,0,1.57,4.0,JustGrab,GrabPay,Regular,Silver,1088,1,6,0.001,0,7.4,4.55,4.72,53,50,1.06,5,0,12,2.11,4.6,4.8,Cloudy,0,Low,1.0,0,0,0,5.93,Current,Average,0,Not Cancelled
BK2026000131,2026-01-01 23:58:48,23,Thursday,1,0,0,1,1,Changi,Airport,Yishun,Residential,1,0,16.46,37.0,GrabCar,Card,Regular,Silver,1099,2,14,0.052,1,7.5,4.51,4.62,69,66,1.05,13,1,36,2.09,4.9,1.5,Clear,0,Medium,1.0,0,1,8,18.91,Current,Good,0,Not Cancelled
BK2026016327,2026-05-27 19:55:02,19,Wednesday,5,0,1,0,1,Clementi,Student/Residential,Jurong East,Mixed,0,0,16.31,30.2,GrabCar,GrabPay,New,,7,0,2,0.002,0,6.4,4.42,4.79,46,64,0.72,6,1,33,4.53,10.6,0.8,Clear,0,High,1.59,0,0,0,36.83,Current,Good,1,Driver took too long
BK2026000147,2026-01-02 03:12:32,3,Friday,1,0,0,1,0,Ang Mo Kio,Residential,Tampines,Residential,0,0,4.11,5.8,GrabCar Plus,GrabPay,Regular,Gold,828,3,14,0.033,1,8.4,5.0,4.65,68,37,1.84,7,0,59,4.44,9.5,4.9,Cloudy,0,Low,1.0,0,0,0,10.32,Outdated,Good,0,Not Cancelled
BK2026019140,2026-06-23 03:27:12,3,Tuesday,6,0,0,1,0,Changi,Airport,Changi,Airport,1,0,3.62,5.8,JustGrab,Card,Regular,Silver,708,0,12,0.004,0,6.4,5.0,4.57,70,65,1.08,8,1,82,1.68,5.3,3.6,Clear,0,Medium,1.0,0,0,0,8.3,One version behind,Good,0,Not Cancelled
BK2026014044,2026-05-07 15:51:50,15,Thursday,5,0,0,0,0,Queenstown,Residential,Serangoon,Residential,0,0,11.8,21.0,GrabCar,GrabPay,High Value,Platinum,1620,5,25,0.0,0,7.4,4.06,4.58,86,50,1.72,7,0,16,1.86,4.4,-2.1,Clear,0,Low,1.0,0,0,0,19.7,One version behind,Average,0,Not Cancelled
BK2026016537,2026-05-29 14:01:30,14,Friday,5,0,0,0,0,CBD,Business,Orchard,Retail,0,1,7.89,20.1,JustGrab,GrabPay,Regular,Silver,1027,0,11,0.033,1,5.2,4.78,4.64,92,76,1.21,11,0,44,1.45,3.7,-0.1,Clear,0,High,1.0,0,0,0,14.5,Current,Good,0,Not Cancelled
BK2026010642,2026-04-06 23:01:14,23,Monday,4,0,0,1,0,Queenstown,Residential,Changi,Airport,1,0,17.19,26.1,GrabShare,Card,Regular,Gold,500,5,10,0.002,0,8.1,4.53,4.59,84,43,1.95,5,0,24,2.78,8.1,2.8,Clear,0,Low,1.0,0,0,0,22.27,Current,Good,0,Not Cancelled
BK2026013585,2026-05-03 14:50:22,14,Sunday,5,1,0,0,0,Changi,Airport,Yishun,Residential,1,0,11.37,17.4,JustGrab,GrabPay,Occasional,,530,2,9,0.01,0,3.8,4.73,4.75,63,71,0.89,9,1,36,2.66,7.4,0.4,Light Rain,1,Medium,1.24,0,0,0,20.69,One version behind,Poor,0,Not Cancelled
BK2026004469,2026-02-10 16:43:21,16,Tuesday,2,0,0,0,0,Punggol,Residential,Bukit Timah,Residential,0,0,3.29,7.8,GrabCar,GrabPay,Regular,Gold,1059,2,5,0.049,1,8.6,4.7,4.5,69,41,1.68,11,0,14,5.01,14.8,-4.3,Cloudy,0,High,1.0,0,0,0,8.47,One version behind,Good,0,Not Cancelled
BK2026002021,2026-01-19 04:32:45,4,Monday,1,0,0,1,0,Tampines,Residential,Bukit Timah,Residential,0,0,7.28,15.0,JustGrab,GrabPay,Occasional,Gold,460,2,4,0.058,1,7.7,4.84,4.37,71,46,1.54,4,0,17,3.8,10.0,0.1,Clear,0,Low,1.0,0,0,0,13.24,Current,Good,0,Not Cancelled
BK2026009705,2026-03-29 06:42:13,6,Sunday,3,1,0,0,0,Jurong East,Mixed,Yishun,Residential,0,0,11.0,22.9,GrabCar Plus,Card,New,,35,0,2,0.084,1,2.7,4.58,4.7,60,57,1.05,17,0,19,1.5,4.2,0.0,Clear,0,Medium,1.0,0,0,0,22.14,Current,Good,0,Not Cancelled
BK2026008286,2026-03-16 17:45:05,17,Monday,3,0,1,0,0,CBD,Business,Bukit Timah,Residential,0,1,4.23,8.5,JustGrab,GrabPay,High Value,Gold,1885,5,23,0.01,0,6.1,4.66,4.6,80,76,1.05,10,0,44,0.75,2.5,2.2,Cloudy,0,High,1.11,0,0,0,9.75,Current,Poor,0,Not Cancelled
BK2026002121,2026-01-20 06:12:37,6,Tuesday,1,0,0,0,0,Ang Mo Kio,Residential,Orchard,Retail,0,0,8.42,12.5,GrabCar,GrabPay,Occasional,Silver,275,0,2,0.126,1,5.9,4.48,4.66,73,53,1.38,11,1,62,3.64,10.4,0.6,Clear,0,Medium,1.0,0,0,0,14.85,Current,Average,0,Not Cancelled
BK2026003777,2026-02-04 07:18:23,7,Wednesday,2,0,1,0,0,Marina Bay,Business/Leisure,Woodlands,Residential,0,1,13.36,22.1,JustGrab,Cash,Occasional,Silver,627,1,5,0.003,0,9.3,5.0,4.89,76,99,0.77,11,2,58,4.51,14.2,2.2,Light Rain,1,Medium,1.31,0,1,5,19.83,Current,Average,1,Found alternative transport
BK2026012803,2026-04-26 10:24:08,10,Sunday,4,1,0,0,0,Orchard,Retail,Marina Bay,Business/Leisure,0,1,4.34,8.8,JustGrab,GrabPay,High Value,Platinum,692,5,16,0.004,0,9.7,4.55,4.92,92,67,1.37,11,1,38,3.42,6.6,-1.3,Cloudy,0,Low,1.0,0,0,0,9.41,Current,Average,0,Not Cancelled
BK2026018967,2026-06-21 14:29:37,14,Sunday,6,1,0,0,0,Serangoon,Residential,Marina Bay,Business/Leisure,0,1,12.96,20.6,GrabCar,GrabPay,Regular,Gold,909,1,7,0.01,0,7.4,4.57,4.53,65,41,1.59,6,0,31,1.08,2.9,1.6,Clear,0,Low,1.0,0,0,0,20.97,Current,Good,0,Not Cancelled
BK2026010516,2026-04-05 20:17:33,20,Sunday,4,1,1,0,0,Jurong East,Mixed,Bukit Timah,Residential,0,0,8.14,16.5,JustGrab,Corporate,Occasional,,137,0,2,0.107,1,5.5,4.8,4.82,44,65,0.68,7,3,55,1.56,5.6,0.0,Clear,0,High,1.49,0,0,0,18.52,Outdated,Average,1,Wrong pickup/dropoff
BK2026001222,2026-01-11 20:48:06,20,Sunday,1,1,1,0,0,Clementi,Student/Residential,Tampines,Residential,0,0,7.71,17.8,GrabCar,Card,New,,43,0,1,0.004,0,7.4,5.0,5.0,45,80,0.56,5,4,86,2.53,11.5,2.8,Light Rain,1,Medium,1.68,0,0,0,20.62,One version behind,Good,1,Fare too high
BK2026005926,2026-02-24 06:31:06,6,Tuesday,2,0,0,0,0,Changi,Airport,Woodlands,Residential,1,0,14.91,21.5,GrabShare,GrabPay,Regular,Platinum,1391,0,11,0.008,0,8.0,5.0,4.94,66,76,0.87,6,1,90,2.85,8.3,1.1,Light Rain,1,Medium,1.22,1,0,0,22.61,Current,Good,0,Not Cancelled
BK2026010859,2026-04-09 02:13:44,2,Thursday,4,0,0,1,0,Woodlands,Residential,Changi,Airport,1,0,16.34,38.7,JustGrab,GrabPay,Regular,Platinum,490,2,10,0.002,0,6.8,4.48,4.8,66,40,1.65,9,0,10,1.87,4.5,3.0,Clear,0,Medium,1.0,0,0,0,25.6,Current,Good,0,Not Cancelled
BK2026013551,2026-05-03 08:05:03,8,Sunday,5,1,1,0,0,Ang Mo Kio,Residential,Yishun,Residential,0,0,20.08,33.4,GrabCar Plus,Card,Regular,Silver,498,4,11,0.01,0,5.8,4.91,4.56,40,84,0.48,0,2,73,2.52,7.1,-0.4,Clear,0,Low,1.2,0,0,0,41.96,One version behind,Good,0,Not Cancelled
BK2026004917,2026-02-14 16:16:34,16,Saturday,2,1,0,0,0,Punggol,Residential,Sentosa,Leisure,0,0,9.88,27.4,JustGrab,Card,Occasional,,145,2,2,0.048,1,2.9,4.75,4.67,76,48,1.58,15,1,44,1.27,4.7,1.7,Cloudy,0,High,1.0,0,1,3,14.46,One version behind,Good,0,Not Cancelled
BK2026011808,2026-04-17 12:26:45,12,Friday,4,0,0,0,0,Queenstown,Residential,Ang Mo Kio,Residential,0,0,4.16,5.4,GrabCar,Card,Regular,Gold,792,1,9,0.001,0,8.9,4.79,4.93,65,49,1.33,5,0,9,2.05,4.7,0.1,Clear,0,Low,1.0,0,0,0,9.17,Current,Good,0,Not Cancelled
BK2026005436,2026-02-19 15:37:17,15,Thursday,2,0,0,0,0,CBD,Business,Serangoon,Residential,0,1,4.8,6.2,GrabCar,Cash,Occasional,Silver,325,0,2,0.408,2,11.4,4.54,5.0,89,84,1.06,10,0,5,2.55,8.5,2.9,Light Rain,1,Low,1.08,0,0,0,10.42,Current,Average,0,Not Cancelled
BK2026010520,2026-04-05 20:58:15,20,Sunday,4,1,1,0,0,Jurong East,Mixed,Changi,Airport,1,0,20.29,57.8,GrabShare,GrabPay,New,,5,0,1,0.001,0,8.0,4.79,4.86,31,69,0.45,5,3,70,4.12,11.9,1.9,Cloudy,0,Severe,1.66,0,0,0,40.8,One version behind,Average,1,Found alternative transport
BK2026013708,2026-05-04 17:57:44,17,Monday,5,0,1,0,0,Orchard,Retail,Bukit Timah,Residential,0,0,10.01,24.5,JustGrab,Card,Occasional,Silver,45,2,5,0.229,2,7.1,4.69,4.62,69,86,0.8,5,0,43,0.54,2.3,1.6,Clear,0,High,1.25,0,0,0,19.88,One version behind,Good,0,Not Cancelled
